model,split,mae,rmse,r2,n_rows,best_params
DummyRegressor,train,18.789923980607846,30.560237608048066,0.0,1819,{}
DummyRegressor,test,18.69262061710595,27.935720047922118,-0.00029838914653557147,636,{}
RidgeRegressor,train,12.56748229180008,21.769308357950717,0.4925703864301678,1819,{'alpha': 100.0}
RidgeRegressor,test,11.752454883864067,19.3475704315873,0.5201972836568696,636,{'alpha': 100.0}
RandomForestRegressor,train,7.976387743675378,14.395029696802464,0.7781233106231409,1819,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}"
RandomForestRegressor,test,8.63980487074678,16.728798651404006,0.6412934246079166,636,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}"
XGBoostRegressor,train,8.490647977079444,15.349844822900419,0.7477132015085377,1819,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'reg_lambda': 10.0, 'subsample': 1.0}"
XGBoostRegressor,test,8.88605873184712,16.743899217652615,0.640645545791356,636,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'reg_lambda': 10.0, 'subsample': 1.0}"
